name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Mudskipper,mudskipper,Civilian Transport,Low Tech,maneuveringjets,3,1000,150,750,938,75,25,,90,80,50,45,60,200,NONE,,0,0,0,,,5,100,70,40,1,40,9,3000,5,20,180,0.25,2,2,35,70,,,50,100,"CIVILIAN, LINER",base_bp,,0.5,2,2,,218
Centurion,centurion,Heavy Frigate,Midline,damper,6,2250,500,2200,2188,175,66,,120,110,90,40,80,300,OMNI,,180,0.4,0.8,,,30,50,50,25,1,25,10,20000,8,10,240,0.25,4,4,,,,,,,,"midline_bp, merc",,0.4,2,2,,219
Scarab,scarab,Heavy Frigate,High Tech,temporalshell,8,2000,250,2500,3125,250,67,,130,120,100,60,120,300,OMNI,,180,0.4,0.6,,,35,45,40,20,1,20,10,30000,7,20,180,0.25,10,10,,,,,,,,"rare_bp, hist1t",,0.5,2,2,,220
Wayfarer,wayfarer,Combat Freighter,Midline,flarelauncher,5,2250,250,1600,1500,120,62,,120,105,70,45,90,300,FRONT,,180,0.4,0.8,,,25,50,100,40,1,40,10,14000,8,10,240,0.25,5,5,,,,,,,,base_bp,,0.5,2,2,,221
Warden,warden,Drone,Explorarium,ammofeed,3,1500,300,750,1250,100,47,,120,100,90,90,120,150,NONE,,0,0,0,,,0,0,20,20,1,20,9,10000,5,5,480,0.25,3,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,2,,222
Defender,defender,Drone,Explorarium,flarelauncher,3,1800,350,750,1250,100,52,,100,90,90,90,110,160,NONE,,0,0,0,,,0,0,20,20,1,20,9,10000,5,5,480,0.25,3,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,2,,223
Picket,picket,Drone,Explorarium,maneuveringjets,3,1400,250,750,1250,100,47,,200,175,150,100,120,120,NONE,,0,0,0,,,0,0,20,20,1,20,9,10000,5,5,480,0.25,3,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,2,,224
Sentry,sentry,Drone,Explorarium,fastmissileracks,3,1200,200,750,1250,100,44,,110,90,90,60,100,120,NONE,,0,0,0,,,0,0,20,20,1,20,9,10000,5,5,480,0.25,3,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,2,,225
Lumen,lumen,Droneship,Remnant,displacer,8,1000,150,2000,2500,200,52,,140,250,200,90,270,150,OMNI,,150,0.4,0.6,,,0,0,40,40,1,40,11,30000,5,10,360,0.25,4,4,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,2,,226
Glimmer,glimmer,Droneship,Remnant,highenergyfocus,8,1500,200,2500,3125,250,62,,130,250,200,90,270,200,OMNI,,150,0.4,0.6,,,0,0,50,40,1,40,11,30000,5,10,360,0.25,5,5,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,2,,227
Gremlin,gremlin,Phase Frigate,Low Tech,flarelauncher,6,1000,300,1200,2000,160,50,,90,120,90,45,90,200,PHASE,phasecloak,90,,,0.06,0.06,4,10,10,20,1,20,9,26000,10,20,180,0.25,6,6,,,,,,,,base_bp,,0.5,2,2,,228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammerhead,hammerhead,Destroyer,Midline,ammofeed,10,5000,500,4200,4167,250,111,,90,60,40,30,60,400,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,40000,5,12,360,0.25,10,10,,,,,,,,"midline_bp, merc",,0.5,2,3,,300
Sunder,sunder,Destroyer,Midline,highenergyfocus,10,4000,250,7500,8333,500,126,,90,80,60,30,30,350,FRONT,,300,0.4,1.2,,,50,70,80,50,2,25,9,45000,5,15,300,0.25,11,11,,,,,,,,"midline_bp, merc",,0.5,2,3,,301
Condor,condor,Light Carrier,Low Tech,fastmissileracks,9,5000,500,2200,1833,110,103,2,40,30,20,20,10,400,OMNI,,120,0.4,1.2,,,90,150,120,30,2,15,9,32000,5,10,360,0.25,10,10,,,,,,,CARRIER,base_bp,,0.5,2,3,,302
Enforcer,enforcer,Destroyer,Low Tech,burndrive,10,6000,900,4000,3333,200,129,,60,40,20,30,20,500,OMNI,,150,0.4,1,,,60,100,90,90,3,30,9,38000,5,12,420,0.25,9,9,,,,,,,,"lowtech_bp, merc",,0.4,2,3,,303
Buffalo,buffalo,Freighter,High Tech,flarelauncher_active,5,3000,125,1500,1167,70,45,,50,25,20,15,7,400,OMNI,,120,0.5,1,,,10,20,400,80,2,40,8,20000,5,20,240,0.25,3,3,133,200,,,,,"CIVILIAN, FREIGHTER","base_bp, merc",,0.6,2,3,,304
Gemini,gemini,Combat Freighter,Midline,reservewing,9,4500,250,2700,2833,170,103,1,50,35,15,25,20,400,OMNI,,150,0.4,0.8,,,55,120,250,70,2,35,9,36000,4,8,360,0.25,9,9,28,125,,,,,,midline_bp,,0.6,2,3,,305
Tarsus,tarsus,Freighter,Low Tech,burndrive,6,4250,400,1800,2083,125,60,,45,35,25,25,15,400,OMNI,,120,0.66,1.2,,,30,80,350,80,3,27,8,18000,5,20,420,0.25,3,3,117,117,,,,,"CIVILIAN, FREIGHTER","lowtech_bp, merc",,0.5,2,3,,306
Valkyrie,valkyrie,Troop Transport,Midline,flarelauncher_active,6,3500,400,2250,1833,110,93,,80,60,60,30,45,400,FRONT,,90,0.4,0.8,,,10,250,50,80,2,40,9,20000,5,15,360,0.25,5,5,,,,,50,125,"CIVILIAN, TRANSPORT","rare_bp, merc",,0.5,2,3,,307
Phantom,phantom,Phase Transport,High Tech,flarelauncher_active,3,3000,500,3000,5000,300,40,,90,90,70,45,60,350,PHASE,phasecloak,90,,,0.07,0.07,5,200,50,100,2,50,9,35000,5,20,300,0.25,10,10,,,,,20,100,"CIVILIAN, TRANSPORT","rare_bp, merc, req_military",,0.5,2,3,,307.5
Buffalo Mk.II,buffalo2,Destroyer,Low Tech,flarelauncher,7,2500,200,2250,1667,100,105,,80,60,40,25,30,300,NONE,,0,0,0,,,40,40,20,30,2,15,9,18000,5,10,120,0.25,4,4,,,,,,,,base_bp,,0.6,2,3,,308
Medusa,medusa,Destroyer,High Tech,displacer,11,3000,300,6000,6667,400,118,,100,90,60,40,100,300,OMNI,,120,0.3,0.6,,,35,50,50,40,2,20,9,60000,5,20,300,0.25,12,12,,,,,,,,"rare_bp, hist1t, merc",,0.7,2,3,,309
Mule,mule,Combat Freighter,Low Tech,maneuveringjets,9,5500,650,3000,2500,150,96,,60,40,20,20,15,500,OMNI,,120,0.4,1,,,40,100,250,80,2,40,9,34000,5,10,420,0.25,7,7,36,125,,,,,,base_bp,,0.5,2,3,,310
Phaeton,phaeton,Tanker,Low Tech,flarelauncher,6,2000,350,2000,2500,150,60,,50,30,20,25,15,400,OMNI,,90,0.5,1.2,,,10,20,20,800,2,400,8,22000,5,20,300,0.25,4,4,,,200,400,,,"CIVILIAN, TANKER","base_bp, merc",,0.75,3,4,,311
,crig,Salvage Rig,Midline,flarelauncher,3,2000,200,1000,1667,100,16,,50,30,20,25,15,300,NONE,,0,0,0,,,20,2,0,0,2,0,8,20000,5,20,360,0.25,3,3,,,,,,,CIVILIAN,base_bp,,0.75,2,3,,312
Nebula,nebula,Civilian Transport,Midline,flarelauncher,5,3000,175,1500,1700,85,60,,55,35,20,20,12,450,FRONT,,150,0.5,1,,,15,400,120,80,2,40,8,20000,4,20,240,0.25,4,4,,,,,100,200,"CIVILIAN, LINER","base_bp, merc",,,2,3,,313
Harbinger,harbinger,Phase Destroyer,High Tech,acausaldisruptor,15,2800,600,5000,10000,500,103,,80,60,40,30,30,400,PHASE,phasecloak,90,,,0.05,0.04,25,50,60,100,2,50,9,120000,5,20,300,0.25,20,20,,,,,,,,"rare_bp, merc",,0.5,2,3,,314
Bastillon,bastillon,Drone,Explorarium,flarelauncher,6,4500,550,3500,3125,250,113,,60,40,20,20,20,400,NONE,,0,0,0,,,0,0,80,40,2,20,8,40000,5,10,540,0.25,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,315
Berserker,berserker,Drone,Explorarium,burndrive,7,4500,575,3400,2813,225,113,,65,45,15,18,18,450,NONE,,0,0,0,,,0,0,80,40,2,20,8,40000,5,10,540,0.25,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,316
Fulgent,fulgent,Droneship,Remnant,highenergyfocus,12,5000,450,5000,3750,300,131,,85,75,50,30,50,500,OMNI,,150,0.4,0.6,,,0,0,80,60,2,30,10,50000,5,15,420,0.25,11,11,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,3,,317
Scintilla,scintilla,Droneship Carrier,Remnant,recalldevice,12,5000,350,4000,2500,200,123,2,60,60,25,20,15,500,OMNI,,270,0.4,0.6,,,0,0,40,60,2,30,10,50000,5,15,420,0.25,15,15,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER","remnant, auto_rec",,0.5,2,3,,317
Drover,drover,Light Carrier,Midline,reservewing,11,4250,400,3000,2813,225,109,2,75,50,30,25,25,450,FRONT,,300,0.4,0.8,,,90,150,40,40,2,20,9,52000,5,15,360,0.25,15,15,,,,,,,CARRIER,"midline_bp, merc",,0.5,2,3,,318
Shrike,shrike,Light Destroyer,High Tech,microburn,9,2800,250,5400,5833,350,108,,100,100,80,35,80,250,OMNI,,150,0.3,0.7,,,20,40,40,60,2,30,10,20000,5,15,300,0.25,8,8,,,,,,,,"hightech_bp, merc",,0.7,2,3,,319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon,falcon,Light Cruiser,Midline,maneuveringjets,12,6000,750,7000,7000,350,163,,75,50,30,20,25,650,FRONT,,270,0.4,0.8,,,100,180,120,100,3,33,9,80000,4,12,480,0.25,15,15,,,,,,,,"midline_bp, merc",,0.5,2,3,,400
Eagle,eagle,Cruiser,Midline,maneuveringjets,14,8000,1000,10000,10500,525,188,,50,30,20,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,120000,3,12,480,0.25,22,22,,,,,,,,"rare_bp, merc",,0.5,2,3,,401
Champion,champion,Heavy Cruiser,Midline,highenergyfocus,15,10000,1250,10000,11000,550,195,,60,40,30,15,20,1500,FRONT,,210,0.4,0.8,,,200,300,150,150,4,38,8,125000,4,12,480,0.25,25,25,,,,,,,,"rare_bp, merc",,0.5,2,4,,401.5
Venture,venture,Cruiser,Low Tech,fastmissileracks,10,10000,1250,7000,6000,300,153,1,40,15,10,12,6,1500,OMNI,,120,0.4,1,,,125,350,350,120,3,40,7,110000,5,10,540,0.25,15,15,,,,,,,,"base_bp, merc",,0.4,2,3,,402
Apogee,apogee,Cruiser,High Tech,flarelauncher_active,14,9000,750,12000,14000,700,179,,60,40,30,20,25,2000,FRONT,,360,0.6,0.7,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,18,18,,,,,,,,"hightech_bp, merc",,0.6,2,3,,403
Dominator,dominator,Heavy Cruiser,Low Tech,burndrive,15,11000,1500,10000,9000,450,230,,30,20,10,12,12,2250,FRONT,,150,0.5,1,,,200,300,150,150,5,30,8,125000,4,12,540,0.25,25,25,,,,,,,,"lowtech_bp, merc",,0.4,2,3,,404
Aurora,aurora,Cruiser,High Tech,plasmajets,17,8000,800,11000,16000,800,180,,80,50,25,25,25,1800,OMNI,,180,0.5,0.8,,,75,200,150,90,3,30,8,200000,4,20,420,0.25,30,30,,,,,,,,"rare_bp, hist2t, merc",,0.6,2,3,,405
Doom,doom,Phase Cruiser,High Tech,mine_strike,22,7000,1250,10000,18000,900,175,,75,55,40,20,25,1200,PHASE,phasecloak,,,,0.05,0.05,50,100,120,150,3,50,8,250000,4,20,420,0.25,35,35,,,,,,,,"rare_bp, hist2t, merc",,0.5,2,3,,406
Heron,heron,Fast Carrier,Midline,targetingfeed,14,6000,750,5000,6000,300,165,3,80,60,40,20,25,800,OMNI,,180,0.5,0.8,,,150,250,90,60,3,20,8,120000,3,12,360,0.25,20,20,,,,,,,CARRIER,"midline_bp, merc",,0.5,2,3,,407
Gryphon,gryphon,Missile Cruiser,Midline,forgevats,14,7000,800,5000,4000,200,182,,60,60,40,15,20,1200,FRONT,,270,0.5,0.8,,,150,250,120,80,3,27,8,110000,3,12,480,0.25,20,20,,,,,,,,"rare_bp, merc",,0.5,2,3,,408
Starliner,starliner,Civilian Transport,Midline,flarelauncher,7,5500,225,2500,2500,125,90,,45,20,10,10,10,900,FRONT,,150,0.5,1,,,50,1500,300,120,3,40,7,50000,3,20,480,0.25,10,10,,,,,150,500,"CIVILIAN, LINER","midline_bp, merc",,0.6,2,3,,409
Mora,mora,Carrier,Low Tech,damper,15,10000,1250,4000,4000,200,185,3,45,20,10,10,10,2000,OMNI,,150,0.4,1,,,200,300,100,60,4,15,8,125000,4,12,420,0.25,20,20,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","lowtech_bp, merc",,0.4,2,3,,410
Colossus,colossus,Heavy Freighter,Low Tech,flarelauncher,7,6000,300,2750,2000,100,80,,40,20,10,10,10,1500,FRONT,,150,0.5,1,,,40,200,900,120,4,30,7,40000,3,20,480,0.25,6,6,150,225,,,,,"CIVILIAN, FREIGHTER","base_bp, merc",,0.6,2,3,,411
Colossus Mk.II,colossus2,Modified Freighter,Luddic Path,burndrive,9,6000,600,3250,3600,180,155,,50,25,10,12,12,1400,FRONT,,150,0.5,1,,,60,120,300,60,4,15,7,50000,3,20,480,0.25,12,12,,,,,,,ALWAYS_PANIC,"rare_bp, LP_bp",,0.6,2,3,,411.1
Colossus Mk.III,colossus3,Modified Freighter,Pirate,flarelauncher,9,6000,600,3250,3600,180,175,,50,25,10,12,12,1400,FRONT,,150,0.5,1,,,80,160,300,60,4,15,7,50000,3,20,480,0.25,12,12,,,,,,,"CARRIER, COMBAT","rare_bp, pirate_bp",,0.6,2,3,,411.2
Revenant,revenant,Phase Tender,High Tech,flarelauncher_active,5,6000,900,6000,8000,400,60,,60,40,20,12,12,1400,PHASE,phasecloak,90,,,0.07,0.07,30,80,600,900,3,300,8,80000,3,20,420,0.25,15,15,40,200,60,300,,,"CIVILIAN, TANKER, FREIGHTER","rare_bp, merc, req_military",,0.5,2,3,,411.3
Rampart,rampart,Drone,Explorarium,burndrive,10,11000,1500,10000,5625,450,175,,35,20,10,12,10,2100,NONE,,0,0,0,,,0,0,100,60,4,15,8,130000,5,12,600,0.25,25,25,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,412
Brilliant,brilliant,Droneship Cruiser,Remnant,flarelauncher_active,16,8000,900,10000,12000,600,175,1,60,35,30,20,25,2000,OMNI,,270,0.5,0.6,,,0,0,120,90,3,30,9,140000,5,15,540,0.25,25,25,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,3,,413
Fury,fury,Light Cruiser,High Tech,microburn,14,5000,600,9000,12000,600,155,,90,100,80,30,60,650,OMNI,,180,0.3,0.7,,,60,120,60,80,3,27,9,75000,4,12,420,0.25,15,15,,,,,,,,"rare_bp, merc",,0.7,2,3,,414
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onslaught,onslaught,Battleship,Low Tech,burndrive,28,20000,1750,17000,15000,600,385,,25,10,10,4,4,3500,FRONT,,180,0.4,1,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,,,,,,,"rare_bp, merc",,0.4,2,4,,500
Astral,astral,Carrier,High Tech,recalldevice,27,10000,900,12000,15000,600,355,6,30,15,10,7,4,3000,FRONT,,360,0.7,0.6,,,450,1000,250,200,10,20,7,400000,3,15,600,0.25,50,50,,,,,,,CARRIER,"rare_bp, merc",,0.6,2,4,,501
Atlas,atlas,Superfreighter,Low Tech,flarelauncher,7,8000,250,4000,5000,200,115,,25,5,2,3,2,4000,OMNI,,45,0.5,1,,,50,100,2000,400,6,67,6,75000,2,20,720,0.25,10,10,200,333,,,,,"CIVILIAN, FREIGHTER","rare_bp, merc",,0.7,2,4,,502
Atlas Mk.II,atlas2,Modified Superfreighter,Pirate,ammofeed,18,9000,750,8000,8750,350,315,,30,8,4,4,2,4000,OMNI,,60,0.5,1,,,250,300,200,400,10,40,6,150000,2,20,720,0.25,24,24,,,,,,,,rare_bp,,0.7,2,4,,502.5
Conquest,conquest,Battlecruiser,Midline,maneuveringjets,24,12000,1200,20000,30000,1200,405,,45,20,15,6,4,2500,OMNI,,90,0.4,1.4,,,400,500,300,300,10,30,8,300000,3,15,600,0.25,40,40,,,,,,,,"rare_bp, merc",,0.5,2,4,,503
Paragon,paragon,Battleship,High Tech,fortressshield,30,18000,1500,25000,31250,1250,366,,30,15,10,5,5,3500,OMNI,,360,0.6,0.6,,,400,1000,300,300,10,30,7,500000,4,20,720,0.25,60,60,,,,,,,,"rare_bp, hist3t, merc",,0.6,2,4,,504
Odyssey,odyssey,Battlecruiser,High Tech,microburn,25,10000,1000,15000,25000,1000,335,2,70,50,40,8,12,2500,OMNI,,180,0.25,1,,,400,800,400,450,8,56,8,330000,4,20,600,0.25,45,45,,,,,,,,"rare_bp, hist3t, merc",,0.6,2,4,,505
Prometheus,prometheus,Tanker,Low Tech,flarelauncher,12,10000,1200,7000,7500,300,140,,50,15,10,4,4,4000,OMNI,,180,0.5,1.2,,,50,100,200,3000,6,500,6,80000,2,20,720,0.25,10,10,,,300,500,,,"CIVILIAN, TANKER","rare_bp, merc",,0.75,3,5,,506
Prometheus Mk.II,prometheus2,Modified Tanker,Luddic Path,burndrive,20,11000,1300,10500,11250,450,305,2,50,16,10,4,4,4000,OMNI,,180,0.5,1.2,,,250,300,200,800,10,80,6,200000,2,20,720,0.25,32,32,,,,,,,ALWAYS_PANIC,rare_bp,,0.75,3,5,,506.5
Legion,legion,Battlecarrier,Low Tech,burndrive,28,15000,1500,12000,12500,500,335,4,30,15,15,6,6,3500,FRONT,,180,0.4,1,,,700,1500,300,300,15,20,7,375000,3,12,720,0.25,40,40,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","rare_bp, merc",,0.4,2,4,,507
Guardian,guardian,Drone Battleship,Explorarium,plasmajets,30,20000,1700,25000,25000,1000,450,,40,30,20,7,10,3500,FRONT,,200,0.4,1,,,0,0,300,400,15,27,7,500000,3,12,720,0.25,60,60,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","derelict, no_autofit",,0.4,2,4,,508
Radiant,radiant,Drone Battleship,Remnant,displacer,30,20000,1500,25000,37500,1500,355,,40,30,20,7,10,3500,OMNI,,270,0.4,0.6,,,0,0,250,400,10,40,8,500000,3,15,720,0.25,60,60,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.4,2,4,,509
Ziggurat,ziggurat,Phase Vessel,High Tech,mote_control,40,14000,1500,16000,24000,1200,275,,40,50,50,20,30,2400,PHASE,phasecloak,,,,0.02,0.02,300,400,200,500,10,50,7,1000000,3,50,600,0.25,75,75,,,,,,,HIDE_IN_CODEX,,,0.4,2,3,,510
